image_name,labels
1624325509-188306684.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328914-422656580.png,"['other-object', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624326606-522429513.png,"['grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325539-673859954.png,"['gravel', 'grass', 'structure', 'sky', 'tree-trunk', 'tree-foliage']"
1624325983-350774940.png,"['grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325298-075235113.png,"['gravel', 'other-object', 'grass', 'structure', 'rock', 'other-terrain', 'sky', 'bush', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328441-063673271.png,"['other-object', 'grass', 'structure', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326342-808313628.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326572-352169988.png,"['gravel', 'grass', 'structure', 'rock', 'sky', 'tree-trunk', 'tree-foliage']"
1624328451-583272593.png,"['grass', 'structure', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325450-763934629.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325408-084579247.png,"['other-object', 'log', 'grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328831-141635038.png,"['other-object', 'log', 'grass', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624329432-943595827.png,"['grass', 'fence', 'structure', 'sky', 'vehicle', 'tree-trunk', 'tree-foliage']"
1624328841-860911186.png,"['other-object', 'grass', 'water', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325502-756338422.png,"['gravel', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328836-500683099.png,"['other-object', 'log', 'grass', 'mud', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624325454-917948718.png,"['gravel', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326482-107621878.png,"['gravel', 'grass', 'structure', 'sky', 'tree-trunk', 'tree-foliage']"
1624325525-201447283.png,"['gravel', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326512-722482731.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'tree-trunk', 'tree-foliage']"
1624325597-227219624.png,"['other-object', 'grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328909-799286559.png,"['other-object', 'grass', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624328443-475621852.png,"['other-object', 'grass', 'structure', 'water', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329067-786837524.png,"['log', 'grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326828-964263842.png,"['log', 'grass', 'rock', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325438-502876228.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'tree-trunk', 'tree-foliage']"
1624326488-802868002.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328922-931367137.png,"['grass', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624326561-498197926.png,"['gravel', 'other-object', 'grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325313-412878219.png,"['gravel', 'other-object', 'grass', 'structure', 'rock', 'other-terrain', 'sky', 'bush', 'tree-trunk', 'tree-foliage']"
1624325612-369038990.png,"['log', 'grass', 'rock', 'sky', 'tree-trunk', 'tree-foliage']"
1624326825-078795779.png,"['grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327224-267405222.png,"['gravel', 'log', 'grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327091-338264543.png,"['log', 'grass', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326389-105811619.png,"['gravel', 'grass', 'sky', 'tree-trunk', 'tree-foliage']"
1624329349-121737696.png,"['other-object', 'log', 'grass', 'fence', 'sky', 'bush', 'dirt', 'vehicle', 'tree-trunk', 'tree-foliage']"
1624328663-237532899.png,"['log', 'grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328836-903149449.png,"['other-object', 'log', 'grass', 'water', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329427-378226195.png,"['other-object', 'log', 'grass', 'structure', 'sky', 'bush', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328872-480005080.png,"['other-object', 'grass', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624326358-889594911.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325293-714715765.png,"['gravel', 'other-object', 'grass', 'structure', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328847-493329256.png,"['grass', 'mud', 'water', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326840-891214285.png,"['grass', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326520-562195061.png,"['gravel', 'grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326610-140519000.png,"['log', 'grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326362-774522051.png,"['gravel', 'other-object', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329357-429630380.png,"['log', 'grass', 'fence', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326598-817348710.png,"['grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328441-666695562.png,"['other-object', 'grass', 'structure', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328927-220884316.png,"['log', 'mud', 'grass', 'water', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326597-678333173.png,"['other-object', 'grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325507-111249493.png,"['gravel', 'grass', 'structure', 'rock', 'sky', 'tree-trunk', 'tree-foliage']"
1624328839-717051937.png,"['grass', 'mud', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624328847-957812915.png,"['log', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624327216-294331252.png,"['gravel', 'log', 'grass', 'rock', 'sky', 'tree-trunk', 'tree-foliage']"
1624326454-699424968.png,"['gravel', 'other-object', 'grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325587-243885657.png,"['grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325467-916217427.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327863-452350288.png,"['grass', 'other-terrain', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325584-697794342.png,"['grass', 'structure', 'sky', 'dirt', 'pole', 'tree-trunk', 'tree-foliage']"
1624327983-182224183.png,"['log', 'grass', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326496-239539746.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326540-660921978.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-foliage']"
1624325593-408099740.png,"['other-object', 'grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329355-486793559.png,"['log', 'grass', 'fence', 'sky', 'dirt', 'vehicle', 'tree-trunk', 'tree-foliage']"
1624326404-649780423.png,"['gravel', 'grass', 'structure', 'rock', 'sky', 'tree-trunk', 'tree-foliage']"
1624326584-010265973.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325307-784809005.png,"['gravel', 'other-object', 'grass', 'structure', 'rock', 'other-terrain', 'sky', 'bush', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328844-541975933.png,"['water', 'sky', 'tree-trunk', 'tree-foliage']"
1624327643-087660866.png,"['dirt', 'rock', 'tree-trunk', 'tree-foliage']"
1624325569-555716147.png,"['grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
